"","unitid","year","fips","opeid","inst_name_fsa","loan_type","loan_recipients_unitid","num_loans_disbursed_unitid","num_loans_originated_unitid","value_loans_originated_unitid","value_loan_disbursements_unitid","loan_recipients_opeid","num_loans_disbursed_opeid","num_loans_originated_opeid","value_loans_originated_opeid","value_loan_disbursements_opeid","allocation_flag","combined_flag","other_assoc_opeids"
"3777",199272,2011,"North Carolina","00295300","WILLIAM PEACE UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3778",199272,2011,"North Carolina","00295300","WILLIAM PEACE UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3779",199272,2011,"North Carolina","00295300","WILLIAM PEACE UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3780",199272,2011,"North Carolina","00295300","WILLIAM PEACE UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3781",199281,2011,"North Carolina","00295400","UNIVERSITY OF NORTH CAROLINA AT PEMBROKE","Subsidized Direct Loan&ndash,Undergraduate",3391,6506,3895,13074418,13024865,3391,6506,3895,13074418,13024865,"No","No",""
"3782",199281,2011,"North Carolina","00295400","UNIVERSITY OF NORTH CAROLINA AT PEMBROKE","Unsubsidized Direct Loan&ndash,Undergraduate",2373,5196,3235,7787879,7743865,2373,5196,3235,7787879,7743865,"No","No",""
"3783",199281,2011,"North Carolina","00295400","UNIVERSITY OF NORTH CAROLINA AT PEMBROKE","Direct Loan Parent PLUS",391,767,432,2497118,2449058,391,767,432,2497118,2449058,"No","No",""
"3784",199281,2011,"North Carolina","00295400","UNIVERSITY OF NORTH CAROLINA AT PEMBROKE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3785",199281,2011,"North Carolina","00295400","UNIVERSITY OF NORTH CAROLINA AT PEMBROKE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3786",199281,2011,"North Carolina","00295400","UNIVERSITY OF NORTH CAROLINA AT PEMBROKE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3787",199281,2011,"North Carolina","00295400","UNIVERSITY OF NORTH CAROLINA AT PEMBROKE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3788",199306,2011,"North Carolina","00295500","PFEIFFER UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",705,1602,801,2801498,2799238,705,1602,801,2801498,2799238,"No","No",""
"3789",199306,2011,"North Carolina","00295500","PFEIFFER UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",781,1862,985,2981937,2963987,781,1862,985,2981937,2963987,"No","No",""
"3790",199306,2011,"North Carolina","00295500","PFEIFFER UNIVERSITY","Direct Loan Parent PLUS",104,203,119,1074383,1066994,104,203,119,1074383,1066994,"No","No",""
"3791",199306,2011,"North Carolina","00295500","PFEIFFER UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3792",199306,2011,"North Carolina","00295500","PFEIFFER UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3793",199306,2011,"North Carolina","00295500","PFEIFFER UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3794",199306,2011,"North Carolina","00295500","PFEIFFER UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3795",199315,2011,"North Carolina","00295600","PIEDMONT INTERNATIONAL UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",160,333,180,608054,587411,160,333,180,608054,587411,"No","No",""
"3796",199315,2011,"North Carolina","00295600","PIEDMONT INTERNATIONAL UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",122,243,135,450040,436454,122,243,135,450040,436454,"No","No",""
"3797",199315,2011,"North Carolina","00295600","PIEDMONT INTERNATIONAL UNIVERSITY","Direct Loan Parent PLUS",8,17,9,54515,54515,8,17,9,54515,54515,"No","No",""
"3798",199315,2011,"North Carolina","00295600","PIEDMONT INTERNATIONAL UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3799",199315,2011,"North Carolina","00295600","PIEDMONT INTERNATIONAL UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3800",199315,2011,"North Carolina","00295600","PIEDMONT INTERNATIONAL UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3801",199315,2011,"North Carolina","00295600","PIEDMONT INTERNATIONAL UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3802",199324,2011,"North Carolina","00964600","PIEDMONT COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",184,295,184,635235,633485,184,295,184,635235,633485,"No","No",""
"3803",199324,2011,"North Carolina","00964600","PIEDMONT COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",162,268,162,649652,649101,162,268,162,649652,649101,"No","No",""
"3804",199324,2011,"North Carolina","00964600","PIEDMONT COMMUNITY COLLEGE","Direct Loan Parent PLUS",0,0,0,0,0,0,0,0,0,0,"No","No",""
"3805",199324,2011,"North Carolina","00964600","PIEDMONT COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3806",199324,2011,"North Carolina","00964600","PIEDMONT COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3807",199324,2011,"North Carolina","00964600","PIEDMONT COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3808",199324,2011,"North Carolina","00964600","PIEDMONT COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3809",199333,2011,"North Carolina","00406200","PITT COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",2993,6047,3327,10237371,10232664,2993,6047,3327,10237371,10232664,"No","No",""
"3810",199333,2011,"North Carolina","00406200","PITT COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",2687,5590,3082,10055313,10047779,2687,5590,3082,10055313,10047779,"No","No",""
"3811",199333,2011,"North Carolina","00406200","PITT COMMUNITY COLLEGE","Direct Loan Parent PLUS",50,92,50,252784,251996,50,92,50,252784,251996,"No","No",""
"3812",199333,2011,"North Carolina","00406200","PITT COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3813",199333,2011,"North Carolina","00406200","PITT COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3814",199333,2011,"North Carolina","00406200","PITT COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3815",199333,2011,"North Carolina","00406200","PITT COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3816",199412,2011,"North Carolina","00295700","QUEENS UNIVERSITY OF CHARLOTTE","Subsidized Direct Loan&ndash,Undergraduate",1148,2034,1260,4738034,4549644,1148,2034,1260,4738034,4549644,"No","No",""
"3817",199412,2011,"North Carolina","00295700","QUEENS UNIVERSITY OF CHARLOTTE","Unsubsidized Direct Loan&ndash,Undergraduate",1335,2533,1552,6172932,5899090,1335,2533,1552,6172932,5899090,"No","No",""
"3818",199412,2011,"North Carolina","00295700","QUEENS UNIVERSITY OF CHARLOTTE","Direct Loan Parent PLUS",237,465,261,3170108,3098481,237,465,261,3170108,3098481,"No","No",""
"3819",199412,2011,"North Carolina","00295700","QUEENS UNIVERSITY OF CHARLOTTE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3820",199412,2011,"North Carolina","00295700","QUEENS UNIVERSITY OF CHARLOTTE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3821",199412,2011,"North Carolina","00295700","QUEENS UNIVERSITY OF CHARLOTTE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3822",199412,2011,"North Carolina","00295700","QUEENS UNIVERSITY OF CHARLOTTE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3823",199458,2011,"North Carolina","02280900","MID-ATLANTIC CHRISTIAN UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",144,264,158,599012,577954,144,264,158,599012,577954,"No","No",""
"3824",199458,2011,"North Carolina","02280900","MID-ATLANTIC CHRISTIAN UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",141,261,150,626608,590531,141,261,150,626608,590531,"No","No",""
"3825",199458,2011,"North Carolina","02280900","MID-ATLANTIC CHRISTIAN UNIVERSITY","Direct Loan Parent PLUS",24,46,24,196249,193018,24,46,24,196249,193018,"No","No",""
"3826",199458,2011,"North Carolina","02280900","MID-ATLANTIC CHRISTIAN UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3827",199458,2011,"North Carolina","02280900","MID-ATLANTIC CHRISTIAN UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3828",199458,2011,"North Carolina","02280900","MID-ATLANTIC CHRISTIAN UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3829",199458,2011,"North Carolina","02280900","MID-ATLANTIC CHRISTIAN UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3830",199467,2011,"North Carolina","00861300","ROANOKE CHOWAN COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",128,204,128,372514,358443,128,204,128,372514,358443,"No","No",""
"3831",199467,2011,"North Carolina","00861300","ROANOKE CHOWAN COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",99,157,99,175138,170385,99,157,99,175138,170385,"No","No",""
"3832",199467,2011,"North Carolina","00861300","ROANOKE CHOWAN COMMUNITY COLLEGE","Direct Loan Parent PLUS",0,0,0,0,0,0,0,0,0,0,"No","No",""
"3833",199467,2011,"North Carolina","00861300","ROANOKE CHOWAN COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3834",199467,2011,"North Carolina","00861300","ROANOKE CHOWAN COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3835",199467,2011,"North Carolina","00861300","ROANOKE CHOWAN COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3836",199467,2011,"North Carolina","00861300","ROANOKE CHOWAN COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3837",199476,2011,"North Carolina","00861200","ROBESON COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",498,754,498,2043908,1701927,498,754,498,2043908,1701927,"No","No",""
"3838",199476,2011,"North Carolina","00861200","ROBESON COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",486,744,486,2282670,1905047,486,744,486,2282670,1905047,"No","No",""
"3839",199476,2011,"North Carolina","00861200","ROBESON COMMUNITY COLLEGE","Direct Loan Parent PLUS",0,0,0,0,0,0,0,0,0,0,"No","No",""
"3840",199476,2011,"North Carolina","00861200","ROBESON COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3841",199476,2011,"North Carolina","00861200","ROBESON COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3842",199476,2011,"North Carolina","00861200","ROBESON COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3843",199476,2011,"North Carolina","00861200","ROBESON COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3844",199494,2011,"North Carolina","00575400","ROWAN-CABARRUS COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",934,1536,934,3016658,2829015,934,1536,934,3016658,2829015,"No","No",""
"3845",199494,2011,"North Carolina","00575400","ROWAN-CABARRUS COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",811,1330,811,3306255,3114550,811,1330,811,3306255,3114550,"No","No",""
"3846",199494,2011,"North Carolina","00575400","ROWAN-CABARRUS COMMUNITY COLLEGE","Direct Loan Parent PLUS",4,8,4,29600,29427,4,8,4,29600,29427,"No","No",""
"3847",199494,2011,"North Carolina","00575400","ROWAN-CABARRUS COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3848",199494,2011,"North Carolina","00575400","ROWAN-CABARRUS COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3849",199494,2011,"North Carolina","00575400","ROWAN-CABARRUS COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3850",199494,2011,"North Carolina","00575400","ROWAN-CABARRUS COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3851",199582,2011,"North Carolina","00296800","SAINT AUGUSTINE'S UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",1424,2992,1586,5941865,5679692,1424,2992,1586,5941865,5679692,"No","No",""
"3852",199582,2011,"North Carolina","00296800","SAINT AUGUSTINE'S UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",1430,3346,1781,6615411,6244954,1430,3346,1781,6615411,6244954,"No","No",""
"3853",199582,2011,"North Carolina","00296800","SAINT AUGUSTINE'S UNIVERSITY","Direct Loan Parent PLUS",474,1029,539,5693903,5436533,474,1029,539,5693903,5436533,"No","No",""
"3854",199582,2011,"North Carolina","00296800","SAINT AUGUSTINE'S UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3855",199582,2011,"North Carolina","00296800","SAINT AUGUSTINE'S UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3856",199582,2011,"North Carolina","00296800","SAINT AUGUSTINE'S UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3857",199582,2011,"North Carolina","00296800","SAINT AUGUSTINE'S UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3858",199607,2011,"North Carolina","00296000","SALEM COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",761,1380,801,3098007,3070682,761,1380,801,3098007,3070682,"No","No",""
"3859",199607,2011,"North Carolina","00296000","SALEM COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",597,1123,668,2513066,2491360,597,1123,668,2513066,2491360,"No","No",""
"3860",199607,2011,"North Carolina","00296000","SALEM COLLEGE","Direct Loan Parent PLUS",84,159,89,891890,875174,84,159,89,891890,875174,"No","No",""
"3861",199607,2011,"North Carolina","00296000","SALEM COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3862",199607,2011,"North Carolina","00296000","SALEM COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3863",199607,2011,"North Carolina","00296000","SALEM COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3864",199607,2011,"North Carolina","00296000","SALEM COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3865",199643,2011,"North Carolina","00296200","SHAW UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",2124,4147,2340,8284441,8284112,2124,4147,2340,8284441,8284112,"No","No",""
"3866",199643,2011,"North Carolina","00296200","SHAW UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",2179,5387,3057,9569865,9568621,2179,5387,3057,9569865,9568621,"No","No",""
"3867",199643,2011,"North Carolina","00296200","SHAW UNIVERSITY","Direct Loan Parent PLUS",474,939,493,4565063,4559720,474,939,493,4565063,4559720,"No","No",""
"3868",199643,2011,"North Carolina","00296200","SHAW UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3869",199643,2011,"North Carolina","00296200","SHAW UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3870",199643,2011,"North Carolina","00296200","SHAW UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3871",199643,2011,"North Carolina","00296200","SHAW UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3872",199689,2011,"North Carolina","01179900","PAUL MITCHELL THE SCHOOL FAYETTEVILLE","Subsidized Direct Loan&ndash,Undergraduate",414,902,494,1472893,1461964,414,902,494,1472893,1461964,"No","No",""
"3873",199689,2011,"North Carolina","01179900","PAUL MITCHELL THE SCHOOL FAYETTEVILLE","Unsubsidized Direct Loan&ndash,Undergraduate",378,810,442,1691184,1671898,378,810,442,1691184,1671898,"No","No",""
"3874",199689,2011,"North Carolina","01179900","PAUL MITCHELL THE SCHOOL FAYETTEVILLE","Direct Loan Parent PLUS",33,64,36,177167,176173,33,64,36,177167,176173,"No","No",""
"3875",199689,2011,"North Carolina","01179900","PAUL MITCHELL THE SCHOOL FAYETTEVILLE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3876",199689,2011,"North Carolina","01179900","PAUL MITCHELL THE SCHOOL FAYETTEVILLE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3877",199689,2011,"North Carolina","01179900","PAUL MITCHELL THE SCHOOL FAYETTEVILLE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3878",199689,2011,"North Carolina","01179900","PAUL MITCHELL THE SCHOOL FAYETTEVILLE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3879",199713,2011,"North Carolina","00902500","EMPIRE BEAUTY SCHOOL","Subsidized Direct Loan&ndash,Undergraduate",463,1005,552,1729314,1608558,463,1005,552,1729314,1608558,"No","No",""
"3880",199713,2011,"North Carolina","00902500","EMPIRE BEAUTY SCHOOL","Unsubsidized Direct Loan&ndash,Undergraduate",450,980,542,2244846,2056741,450,980,542,2244846,2056741,"No","No",""
"3881",199713,2011,"North Carolina","00902500","EMPIRE BEAUTY SCHOOL","Direct Loan Parent PLUS",45,89,50,245230,223427,45,89,50,245230,223427,"No","No",""
"3882",199713,2011,"North Carolina","00902500","EMPIRE BEAUTY SCHOOL","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3883",199713,2011,"North Carolina","00902500","EMPIRE BEAUTY SCHOOL","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3884",199713,2011,"North Carolina","00902500","EMPIRE BEAUTY SCHOOL","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3885",199713,2011,"North Carolina","00902500","EMPIRE BEAUTY SCHOOL","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3886",199722,2011,"North Carolina","00296400","SOUTHEASTERN COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",613,1254,778,1718705,1718687,613,1254,778,1718705,1718687,"No","No",""
"3887",199722,2011,"North Carolina","00296400","SOUTHEASTERN COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",479,996,611,1523407,1522837,479,996,611,1523407,1522837,"No","No",""
"3888",199722,2011,"North Carolina","00296400","SOUTHEASTERN COMMUNITY COLLEGE","Direct Loan Parent PLUS",0,0,0,0,0,0,0,0,0,0,"No","No",""
"3889",199722,2011,"North Carolina","00296400","SOUTHEASTERN COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3890",199722,2011,"North Carolina","00296400","SOUTHEASTERN COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3891",199722,2011,"North Carolina","00296400","SOUTHEASTERN COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3892",199722,2011,"North Carolina","00296400","SOUTHEASTERN COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3893",199731,2011,"North Carolina","00846600","SOUTHWESTERN COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",336,646,336,1125532,1085801,336,646,336,1125532,1085801,"No","No",""
"3894",199731,2011,"North Carolina","00846600","SOUTHWESTERN COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",274,527,274,1139720,1104611,274,527,274,1139720,1104611,"No","No",""
"3895",199731,2011,"North Carolina","00846600","SOUTHWESTERN COMMUNITY COLLEGE","Direct Loan Parent PLUS",2,4,2,22000,22000,2,4,2,22000,22000,"No","No",""
"3896",199731,2011,"North Carolina","00846600","SOUTHWESTERN COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3897",199731,2011,"North Carolina","00846600","SOUTHWESTERN COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3898",199731,2011,"North Carolina","00846600","SOUTHWESTERN COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3899",199731,2011,"North Carolina","00846600","SOUTHWESTERN COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3900",199795,2011,"North Carolina","00943000","TRI-COUNTY COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",96,178,96,335770,324417,96,178,96,335770,324417,"No","No",""
"3901",199795,2011,"North Carolina","00943000","TRI-COUNTY COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",74,135,74,321848,309944,74,135,74,321848,309944,"No","No",""
"3902",199795,2011,"North Carolina","00943000","TRI-COUNTY COMMUNITY COLLEGE","Direct Loan Parent PLUS",0,0,0,0,0,0,0,0,0,0,"No","No",""
"3903",199795,2011,"North Carolina","00943000","TRI-COUNTY COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3904",199795,2011,"North Carolina","00943000","TRI-COUNTY COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3905",199795,2011,"North Carolina","00943000","TRI-COUNTY COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3906",199795,2011,"North Carolina","00943000","TRI-COUNTY COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3907",199838,2011,"North Carolina","00990300","VANCE - GRANVILLE COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",391,605,391,1111143,1111143,391,605,391,1111143,1111143,"No","No",""
"3908",199838,2011,"North Carolina","00990300","VANCE - GRANVILLE COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",388,603,388,1418084,1415701,388,603,388,1418084,1415701,"No","No",""
"3909",199838,2011,"North Carolina","00990300","VANCE - GRANVILLE COMMUNITY COLLEGE","Direct Loan Parent PLUS",0,0,0,0,0,0,0,0,0,0,"No","No",""
"3910",199838,2011,"North Carolina","00990300","VANCE - GRANVILLE COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3911",199838,2011,"North Carolina","00990300","VANCE - GRANVILLE COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3912",199838,2011,"North Carolina","00990300","VANCE - GRANVILLE COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3913",199838,2011,"North Carolina","00990300","VANCE - GRANVILLE COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3914",199847,2011,"North Carolina","00297800","WAKE FOREST UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",1418,2824,1468,6208068,6202250,1418,2824,1468,6208068,6202250,"No","No",""
"3915",199847,2011,"North Carolina","00297800","WAKE FOREST UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",725,1401,750,2657477,2651647,725,1401,750,2657477,2651647,"No","No",""
"3916",199847,2011,"North Carolina","00297800","WAKE FOREST UNIVERSITY","Direct Loan Parent PLUS",384,761,421,8767944,8638257,384,761,421,8767944,8638257,"No","No",""
"3917",199847,2011,"North Carolina","00297800","WAKE FOREST UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"3918",199847,2011,"North Carolina","00297800","WAKE FOREST UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
